La carnicería | Butcher Shop
La frutería | Fruit Store
La lavandería | Laundromat
El banco | Bank
El correo | Post office
El estacionamiento | Parking lot
La heladería | Ice cream shop
La joyería | Jewelry store
La panadería | Bakery/bread store
La peluquería | Hair salon; barbershop
La pastelería | Pastry shop, bakery
El salón de belleza | Beauty salon
La pescadería | Fish market
El supermercado | Supermarket
La zapatería | Shoe store
Hacer cola/hacer fila | To wait in line
Hacer diligencias/mandados | To do errands/shopping
El cajero automático | ATM
El cheque | Check
La cuenta corriente | Checking account
La cuenta de ahorros | Savings account
Ahorrar | To save, conserve
Dinero, tiempo, gasolina, electricidad | Money, time, gasoline, electricity
Cobrar | To cash (a check); to charge
Depositar | To deposit
Firmar | To sign (a document)
Un documento, un contrato, una forma | Document, contract, form
Llenar un formulario | To fill out a form
Pagar a plazos | To pay in installments
Pagar al contado/en efectivo | To pay in cash
Pedir un préstamo | To apply for a loan
Ser gratis | To be free of charge
